,batsman,total_runs,total_balls,fours,sixes,strike_rate,wicket_taken,season,stadium,team,opposing_team
11,Wahab Riaz (c),0,2,0,0,0.00,c Shaheen Shah Afridi b Wiese,2022,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars
12,Wahab Riaz (c),2,3,0,0,66.66,b Abbas Afridi,2022,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans
13,Wahab Riaz (c),1,5,0,0,20.00,c Anwar Ali b Khushdil Shah,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Multan Sultans
14,Wahab Riaz (c),1,3,0,0,33.33,not out,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
15,Wahab Riaz (c),0,1,0,0,0.00,c Rahmanullah Gurbaz b de Lange,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Islamabad United
16,Wahab Riaz (c),1,1,0,0,100.00,run out (Kamran Ghulam),2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
0,Naseem Shah,7,7,0,1,100.00,lbw b Salman Irshad,2020,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
1,Naseem Shah,1,4,0,0,25.00,not out,2021,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
2,Naseem Shah,1,4,0,0,25.00,c David b Willey,2022,"National Stadium, Karachi",Quetta Gladiators,Multan Sultans
3,Naseem Shah,0,1,0,0,0.00,b Mohammad Wasim,2022,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
4,Naseem Shah,5,5,1,0,100.00,not out,2022,"Gaddafi Stadium, Lahore",Quetta Gladiators,Peshawar Zalmi
5,Naseem Shah,2,3,0,0,66.66,b Shahnawaz Dahani,2022,"Gaddafi Stadium, Lahore",Quetta Gladiators,Multan Sultans
6,Naseem Shah,1,2,0,0,50.00,b Ihsanullah,2023,Multan Cricket Stadium,Quetta Gladiators,Multan Sultans
7,Naseem Shah,0,1,0,0,0.00,b Hasan Ali,2023,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
8,Naseem Shah,2,4,0,0,50.00,run out (ï¿½Mohammad Rizwan/Mohammad Ali),2024,Multan Cricket Stadium,Islamabad United,Multan Sultans
9,Naseem Shah,8,3,0,1,266.66,not out,2024,"Gaddafi Stadium, Lahore",Islamabad United,Peshawar Zalmi
10,Naseem Shah,27,16,2,2,168.75,b Shaheen Shah Afridi,2024,Rawalpindi Cricket Stadium,Islamabad United,Lahore Qalandars
11,Naseem Shah,1,1,0,0,100.00,not out,2024,Rawalpindi Cricket Stadium,Islamabad United,Multan Sultans
12,Naseem Shah,7,5,0,1,140.00,not out,2024,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
13,Naseem Shah,17,9,2,1,188.88,c ï¿½Mohammad Rizwan b Mohammad Ali,2024,"National Stadium, Karachi",Islamabad United,Multan Sultans
0,Seekkuge Prasanna,8,8,0,1,100.00,c Asif Ali b Rumman Raees,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
0,Dilbar Hussain,8,12,0,1,66.66,not out,2020,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
1,Dilbar Hussain,8,3,1,0,266.66,b Imad Wasim,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
0,Zahid Mahmood,19,19,2,0,100.00,not out,2020,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
1,Zahid Mahmood,0,0,0,0,-,not out,2021,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi
2,Zahid Mahmood,5,7,0,0,71.42,run out (Shadab Khan),2021,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
3,Zahid Mahmood,0,2,0,0,0.00,b Hasan Ali,2021,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Islamabad United
4,Zahid Mahmood,0,2,0,0,0.00,b Wahab Riaz,2021,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Peshawar Zalmi
5,Zahid Mahmood,3,9,0,0,33.33,not out,2022,"Gaddafi Stadium, Lahore",Islamabad United,Multan Sultans
6,Zahid Mahmood,3,6,0,0,50.00,not out,2024,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
0,Rohail Nazir,14,14,2,0,100.00,c ï¿½Kamran Akmal b Rahat Ali,2020,"National Stadium, Karachi",Multan Sultans,Peshawar Zalmi
1,Rohail Nazir,24,17,2,1,141.17,b Shaheen Shah Afridi,2020,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
2,Rohail Nazir,8,12,0,0,66.66,c Smeed b Naseem Shah,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Quetta Gladiators
0,Adil Amin,7,7,1,0,100.00,not out,2020,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans
0,Phil Salt ï¿½,25,19,3,1,131.57,c Jordan b Imad Wasim,2020,"National Stadium, Karachi",Islamabad United,Karachi Kings
1,Phil Salt ï¿½,13,12,2,0,108.33,c Vince b Mohammad Umar,2021,"National Stadium, Karachi",Islamabad United,Multan Sultans
2,Phil Salt ï¿½,0,2,0,0,0.00,c Christian b Imad Wasim,2021,"National Stadium, Karachi",Islamabad United,Karachi Kings
3,Phil Salt ï¿½,9,11,1,0,81.81,b Mahmood,2021,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
4,Phil Salt ï¿½,2,3,0,0,66.66,c Asif Ali b Shadab Khan,2022,"National Stadium, Karachi",Lahore Qalandars,Islamabad United
5,Phil Salt ï¿½,8,4,0,1,200.00,c Mohammad Nawaz b Wood,2022,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators
6,Phil Salt ï¿½,26,13,2,1,200.00,not out,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
7,Phil Salt ï¿½,8,12,0,0,66.66,c Babar Azam b Jordan,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
8,Phil Salt ï¿½,2,3,0,0,66.66,b Faheem Ashraf,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
9,Phil Salt ï¿½,14,10,3,0,140.00,b Arshad Iqbal,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
10,Phil Salt ï¿½,1,3,0,0,33.33,c Muhammad Amir Barki b Shahnawaz Dahani,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
11,Phil Salt ï¿½,2,7,0,0,28.57,b Dawson,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
0,Babar Azam (c),32,34,3,0,94.11,c Mohammad Nawaz b Fawad Ahmed,2020,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
1,Babar Azam (c),23,29,1,0,79.31,c Willey b Khushdil Shah,2022,"National Stadium, Karachi",Karachi Kings,Multan Sultans
2,Babar Azam (c),32,29,4,0,110.34,c ï¿½Sarfaraz Ahmed b Mohammad Hasnain,2022,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
3,Babar Azam (c),41,33,5,0,124.24,b Rashid Khan,2022,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
4,Babar Azam (c),90,63,12,1,142.85,not out,2022,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
5,Babar Azam (c),8,10,1,0,80.00,b Mohammad Wasim,2022,"National Stadium, Karachi",Karachi Kings,Islamabad United
6,Babar Azam (c),59,46,6,0,128.26,lbw b Salman Irshad,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Peshawar Zalmi
7,Babar Azam (c),13,9,3,0,144.44,c ï¿½Azam Khan b Zeeshan Zameer,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Islamabad United
8,Babar Azam (c),2,4,0,0,50.00,lbw b Rumman Raees,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Multan Sultans
9,Babar Azam (c),39,32,5,0,121.87,st ï¿½Salt b Rashid Khan,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
10,Babar Azam (c),36,34,3,1,105.88,b Khurram Shahzad,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Quetta Gladiators
11,Babar Azam (c),68,46,7,1,147.82,c Tye b Imran Tahir,2023,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
12,Babar Azam (c),9,8,1,0,112.50,lbw b Ihsanullah,2023,Multan Cricket Stadium,Peshawar Zalmi,Multan Sultans
13,Babar Azam (c),19,18,3,0,105.55,lbw b Mohammad Nawaz,2023,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
14,Babar Azam (c),75,58,7,1,129.31,not out,2023,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
15,Babar Azam (c),7,6,1,0,116.66,b Shaheen Shah Afridi,2023,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
16,Babar Azam (c),0,3,0,0,0.00,lbw b Mohammad Amir,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Karachi Kings
17,Babar Azam (c),50,41,4,2,121.95,c Wiese b Haris Rauf,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
18,Babar Azam (c),115,65,15,3,176.92,run out (Aimal Khan),2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
19,Babar Azam (c),73,39,9,2,187.17,c ï¿½Mohammad Rizwan b Abbas Afridi,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Multan Sultans
20,Babar Azam (c),64,39,10,0,164.10,lbw b Shadab Khan,2023,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Islamabad United
21,Babar Azam (c),42,36,7,0,116.66,lbw b Rashid Khan,2023,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
22,Babar Azam (c),68,42,4,4,161.90,c Mohammad Wasim b Abrar Ahmed,2024,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
23,Babar Azam (c),72,51,7,1,141.17,c & b Mir Hamza,2024,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Karachi Kings
24,Babar Azam (c),31,26,5,0,119.23,b Usama Mir,2024,Multan Cricket Stadium,Peshawar Zalmi,Multan Sultans
25,Babar Azam (c),48,36,5,0,133.33,c Sikandar Raza b Shaheen Shah Afridi,2024,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
26,Babar Azam (c),111,63,14,2,176.19,not out,2024,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Islamabad United
27,Babar Azam (c),0,1,0,0,0.00,run out (Hales),2024,Rawalpindi Cricket Stadium,Peshawar Zalmi,Islamabad United
28,Babar Azam (c),64,40,7,2,160.00,b Usama Mir,2024,Rawalpindi Cricket Stadium,Peshawar Zalmi,Multan Sultans
29,Babar Azam (c),53,30,9,1,176.66,lbw b Hosein,2024,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
30,Babar Azam (c),51,46,5,1,110.86,run out (Zahid Mahmood/Shan Masood),2024,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
31,Babar Azam (c),46,42,5,0,109.52,b Jordan,2024,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans
32,Babar Azam (c),25,22,2,1,113.63,c Shadab Khan b Naseem Shah,2024,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
0,Adam Lyth,9,7,0,1,128.57,c ï¿½Walton b Waqas Maqsood,2020,"National Stadium, Karachi",Multan Sultans,Karachi Kings
1,Adam Lyth,50,29,4,3,172.41,c Fakhar Zaman b Wiese,2020,"National Stadium, Karachi",Multan Sultans,Lahore Qalandars
0,Sherfane Rutherford,1,3,0,0,33.33,c ï¿½Zeeshan Ashraf b Imran Tahir,2020,"National Stadium, Karachi",Karachi Kings,Multan Sultans
1,Sherfane Rutherford,0,1,0,0,0.00,c Sohail Akhtar b Haris Rauf,2020,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
2,Sherfane Rutherford,26,27,0,2,96.29,c Agha Salman b Shaheen Shah Afridi,2021,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars
3,Sherfane Rutherford,15,6,2,1,250.00,c Brathwaite b Shahnawaz Dahani,2021,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans
4,Sherfane Rutherford,36,18,1,4,200.00,not out,2021,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
5,Sherfane Rutherford,6,2,0,0,300.00,not out,2021,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
6,Sherfane Rutherford,46,32,3,3,143.75,c ï¿½Clarke b Mohammad Ilyas,2021,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
7,Sherfane Rutherford,15,10,2,1,150.00,b Rashid Khan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Lahore Qalandars
8,Sherfane Rutherford,10,12,1,0,83.33,run out (Weatherald/Zahid Mahmood),2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Quetta Gladiators
9,Sherfane Rutherford,56,40,2,4,140.00,run out (Imran Khan/ï¿½Mohammad Rizwan),2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Multan Sultans
10,Sherfane Rutherford,2,5,0,0,40.00,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Karachi Kings
11,Sherfane Rutherford,29,8,1,4,362.50,c ï¿½Muhammad Akhlaq b Hasan Ali,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Islamabad United
12,Sherfane Rutherford,17,10,3,0,170.00,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Karachi Kings
13,Sherfane Rutherford,18,10,1,2,180.00,c ï¿½Mohammad Rizwan b Imran Tahir,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Multan Sultans
14,Sherfane Rutherford,10,9,2,0,111.11,c Mohammad Nawaz b Naseem Shah,2022,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
15,Sherfane Rutherford,70,46,7,3,152.17,not out,2022,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
16,Sherfane Rutherford,21,11,3,1,190.90,b Zaman Khan,2022,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars
17,Sherfane Rutherford,9,4,0,1,225.00,not out,2022,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
18,Sherfane Rutherford,2,4,0,0,50.00,c Charles b Imran Tahir,2022,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans
19,Sherfane Rutherford,21,19,2,1,110.52,c David b Muzarabani,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Multan Sultans
20,Sherfane Rutherford,11,5,2,0,220.00,b Umaid Asif,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Karachi Kings
21,Sherfane Rutherford,0,6,0,0,0.00,c Roy b Iftikhar Ahmed,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
22,Sherfane Rutherford,16,9,0,2,177.77,c Zahir Khan b Faheem Ashraf,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Islamabad United
23,Sherfane Rutherford,20,13,3,0,153.84,c Wood b Salman Irshad,2024,"Gaddafi Stadium, Lahore",Quetta Gladiators,Peshawar Zalmi
24,Sherfane Rutherford,14,12,1,0,116.66,b Shaheen Shah Afridi,2024,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
25,Sherfane Rutherford,29,23,1,2,126.08,b Naseem Shah,2024,"Gaddafi Stadium, Lahore",Quetta Gladiators,Islamabad United
26,Sherfane Rutherford,21,14,0,2,150.00,c & b Willey,2024,Multan Cricket Stadium,Quetta Gladiators,Multan Sultans
27,Sherfane Rutherford,58,31,1,6,187.09,not out,2024,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
28,Sherfane Rutherford,9,9,1,0,100.00,c Pollard b Muzarabani,2024,Rawalpindi Cricket Stadium,Quetta Gladiators,Karachi Kings
0,Waqas Maqsood,1,1,0,0,100.00,not out,2020,"National Stadium, Karachi",Karachi Kings,Multan Sultans
1,Waqas Maqsood,12,11,2,0,109.09,b Shaheen Shah Afridi,2021,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
2,Waqas Maqsood,7,7,0,1,100.00,st ï¿½Kamran Akmal b Abrar Ahmed,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Peshawar Zalmi
3,Waqas Maqsood,1,5,0,0,20.00,c Zaman Khan b Wiese,2022,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
4,Waqas Maqsood,0,1,0,0,0.00,c Abdullah Shafique b Wiese,2022,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
0,Imam-ul-Haq ï¿½,24,19,0,2,126.31,c & b Wiese,2020,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars
0,Faf du Plessis,31,25,1,1,124.00,c ï¿½Dunk b Dilbar Hussain,2020,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars
1,Faf du Plessis,37,26,4,1,142.30,c Mujeeb Ur Rahman b Wahab Riaz,2021,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi
2,Faf du Plessis,17,11,3,0,154.54,lbw b Hasan Ali,2021,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
3,Faf du Plessis,17,17,1,0,100.00,b Sohail Khan,2021,"National Stadium, Karachi",Quetta Gladiators,Multan Sultans
4,Faf du Plessis,5,8,0,0,62.50,b Mohammad Wasim,2021,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Islamabad United
0,Mohammad Imran,8,4,0,1,200.00,c Fakhar Zaman b Wiese,2020,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars
1,Mohammad Imran,1,2,0,0,50.00,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Lahore Qalandars
2,Mohammad Imran,0,1,0,0,0.00,b Imran Tahir,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Multan Sultans
3,Mohammad Imran,0,0,0,0,-,not out,2022,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
0,Saqib Mahmood,2,3,0,0,66.66,not out,2020,"National Stadium, Karachi",Peshawar Zalmi,Lahore Qalandars
1,Saqib Mahmood,0,1,0,0,0.00,run out (Mohammad Nawaz/Mohammad Hasnain),2021,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
2,Saqib Mahmood,0,0,0,0,-,not out,2022,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans
3,Saqib Mahmood,11,11,0,1,100.00,not out,2022,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Multan Sultans
0,Saim Ayub,8,14,1,0,57.14,c Aamer Yamin b Waqas Maqsood,2021,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
1,Saim Ayub,3,5,0,0,60.00,c Sohail Akhtar b Shaheen Shah Afridi,2021,"National Stadium, Karachi",Quetta Gladiators,Lahore Qalandars
2,Saim Ayub,21,19,4,0,110.52,run out (Rutherford),2021,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi
3,Saim Ayub,5,3,1,0,166.66,c Stirling b Hasan Ali,2021,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
4,Saim Ayub,23,18,2,1,127.77,c Khushdil Shah b Imran Tahir,2021,"National Stadium, Karachi",Quetta Gladiators,Multan Sultans
5,Saim Ayub,35,31,5,0,112.90,c Allen b Mohammad Irfan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Peshawar Zalmi
6,Saim Ayub,19,15,1,2,126.66,c ï¿½Walton b Mohammad Ilyas,2021,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Karachi Kings
7,Saim Ayub,1,1,0,0,100.00,run out (Mir Hamza),2023,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
8,Saim Ayub,53,37,3,3,143.24,b Usama Mir,2023,Multan Cricket Stadium,Peshawar Zalmi,Multan Sultans
9,Saim Ayub,0,1,0,0,0.00,lbw b Mohammad Hasnain,2023,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
10,Saim Ayub,3,3,0,0,100.00,b Mubasir Khan,2023,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
11,Saim Ayub,51,34,7,2,150.00,c Abdullah Shafique b Rashid Khan,2023,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
12,Saim Ayub,1,3,0,0,33.33,c Tayyab Tahir b Mohammad Amir,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Karachi Kings
13,Saim Ayub,68,36,8,3,188.88,c ï¿½Billings b Rashid Khan,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
14,Saim Ayub,74,34,6,5,217.64,c Mohammad Nawaz b Pretorius,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
15,Saim Ayub,58,33,5,4,175.75,c Abbas Afridi b Usama Mir,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Multan Sultans
16,Saim Ayub,0,3,0,0,0.00,b Fazalhaq Farooqi,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Islamabad United
17,Saim Ayub,23,16,5,0,143.75,c Faheem Ashraf b Mohammad Wasim,2023,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Islamabad United
18,Saim Ayub,9,5,2,0,180.00,b Zaman Khan,2023,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
19,Saim Ayub,42,26,2,3,161.53,run out (Khawaja Nafay/ï¿½Sarfaraz Ahmed),2024,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
20,Saim Ayub,0,1,0,0,0.00,b Shoaib Malik,2024,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Karachi Kings
21,Saim Ayub,7,11,1,0,63.63,c Hendricks b Shahnawaz Dahani,2024,Multan Cricket Stadium,Peshawar Zalmi,Multan Sultans
22,Saim Ayub,88,55,8,4,160.00,b Shaheen Shah Afridi,2024,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
23,Saim Ayub,38,21,3,2,180.95,b Agha Salman,2024,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Islamabad United
24,Saim Ayub,1,5,0,0,20.00,c Agha Salman b Naseem Shah,2024,Rawalpindi Cricket Stadium,Peshawar Zalmi,Islamabad United
25,Saim Ayub,46,22,3,5,209.09,lbw b Usama Mir,2024,Rawalpindi Cricket Stadium,Peshawar Zalmi,Multan Sultans
26,Saim Ayub,30,12,1,3,250.00,c Abrar Ahmed b Sohail Khan,2024,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
27,Saim Ayub,19,18,3,0,105.55,b Zahid Mahmood,2024,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
28,Saim Ayub,1,4,0,0,25.00,c Yasir Khan b Willey,2024,"National Stadium, Karachi",Peshawar Zalmi,Multan Sultans
29,Saim Ayub,73,44,6,4,165.90,c Faheem Ashraf b Shadab Khan,2024,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
0,Qais Ahmad,16,13,1,1,123.07,c ï¿½Clarke b Waqas Maqsood,2021,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
1,Qais Ahmad,2,3,0,0,66.66,not out,2021,"National Stadium, Karachi",Quetta Gladiators,Multan Sultans
2,Qais Ahmad,9,7,2,0,128.57,c Fakhar Zaman b Shaheen Shah Afridi,2023,"National Stadium, Karachi",Quetta Gladiators,Lahore Qalandars
3,Qais Ahmad,17,7,2,1,242.85,not out,2023,Rawalpindi Cricket Stadium,Quetta Gladiators,Multan Sultans
0,Joe Clarke ï¿½,46,23,6,3,200.00,c Azam Khan b Usman Shinwari,2021,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
1,Joe Clarke ï¿½,54,26,3,4,207.69,c Lynn b Shahnawaz Dahani,2021,"National Stadium, Karachi",Karachi Kings,Multan Sultans
2,Joe Clarke ï¿½,4,6,1,0,66.66,run out (Haris Rauf),2021,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
3,Joe Clarke ï¿½,17,14,4,0,121.42,c ï¿½Kamran Akmal b Mohammad Irfan,2021,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
4,Joe Clarke ï¿½,26,24,1,0,108.33,c Rossouw b Shahnawaz Dahani,2022,"National Stadium, Karachi",Karachi Kings,Multan Sultans
5,Joe Clarke ï¿½,2,3,0,0,66.66,b Sohail Tanvir,2022,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
6,Joe Clarke ï¿½,24,18,2,0,133.33,not out,2022,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
7,Joe Clarke ï¿½,26,26,0,2,100.00,b Livingstone,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Peshawar Zalmi
8,Joe Clarke ï¿½,0,2,0,0,0.00,lbw b Dawson,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Islamabad United
9,Joe Clarke ï¿½,52,39,4,2,133.33,b Mohammad Irfan,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Quetta Gladiators
0,Rashid Khan,27,15,3,1,180.00,not out,2021,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi
1,Rashid Khan,15,5,3,0,300.00,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Islamabad United
2,Rashid Khan,8,7,0,0,114.28,b Allen,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Peshawar Zalmi
3,Rashid Khan,4,7,0,0,57.14,b Shadab Khan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Islamabad United
4,Rashid Khan,8,10,1,0,80.00,b Mohammad Nawaz,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Quetta Gladiators
5,Rashid Khan,11,6,1,1,183.33,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Karachi Kings
6,Rashid Khan,2,5,0,0,40.00,c ï¿½Mohammad Rizwan b Shahnawaz Dahani,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Multan Sultans
7,Rashid Khan,17,4,1,2,425.00,not out,2022,"National Stadium, Karachi",Lahore Qalandars,Multan Sultans
8,Rashid Khan,22,8,0,3,275.00,not out,2022,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi
9,Rashid Khan,15,8,1,1,187.50,not out,2022,"National Stadium, Karachi",Lahore Qalandars,Islamabad United
10,Rashid Khan,1,1,0,0,100.00,not out,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
11,Rashid Khan,0,4,0,0,0.00,b Jordan,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
12,Rashid Khan,11,10,0,0,110.00,not out,2023,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators
13,Rashid Khan,18,12,2,1,150.00,c sub (Mubasir Khan) b Hasan Ali,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
14,Rashid Khan,21,20,1,1,105.00,c Iftikhar Ahmed b Smith,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
15,Rashid Khan,0,2,0,0,0.00,c Sameen Gul b Anwar Ali,2023,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
16,Rashid Khan,2,3,0,0,66.66,run out (Azmatullah Omarzai/ï¿½Haseebullah Khan),2023,Rawalpindi Cricket Stadium,Lahore Qalandars,Peshawar Zalmi
