batsman,total_runs,total_balls,fours,sixes,strike_rate,match_captain,wicket_type,dismissed_by,season,venue,team_name,opponent_team
Mohammad Rizwan,33,18,1,3,183.33,1,catch,Shadab Khan,2023,Rawalpindi Cricket Stadium,Multan Sultans,Islamabad United
Mohammad Rizwan,7,6,0,1,116.66,1,catch,Arshad Iqbal,2023,Rawalpindi Cricket Stadium,Multan Sultans,Peshawar Zalmi
Mohammad Rizwan,55,29,6,2,189.65,1,catch,Qais Ahmad,2023,Rawalpindi Cricket Stadium,Multan Sultans,Quetta Gladiators
Mohammad Rizwan,33,29,3,0,113.79,1,bowled,Rashid Khan,2023,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Mohammad Rizwan,34,23,5,0,147.82,1,catch,Rashid Khan,2023,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Mohammad Rizwan,11,12,2,0,91.66,1,lbw,Mir Hamza,2024,Multan Cricket Stadium,Multan Sultans,Karachi Kings
Mohammad Rizwan,43,33,6,2,130.3,1,lbw,Shadab Khan,2024,Multan Cricket Stadium,Multan Sultans,Islamabad United
Mohammad Rizwan,82,59,9,3,138.98,1,catch,Zaman Khan,2024,Multan Cricket Stadium,Multan Sultans,Lahore Qalandars
Mohammad Rizwan,0,3,0,0,0.0,1,catch,Wood,2024,Multan Cricket Stadium,Multan Sultans,Peshawar Zalmi
Mohammad Rizwan,51,42,2,4,121.42,1,catch,Hosein,2024,Multan Cricket Stadium,Multan Sultans,Quetta Gladiators
Mohammad Rizwan,32,24,2,1,133.33,1,run out,run out,2024,Rawalpindi Cricket Stadium,Multan Sultans,Peshawar Zalmi
Mohammad Rizwan,20,17,2,1,117.64,1,lbw,Faheem Ashraf,2024,Rawalpindi Cricket Stadium,Multan Sultans,Islamabad United
Mohammad Rizwan,69,47,1,4,146.8,1,catch,Mohammad Amir,2024,"National Stadium, Karachi",Multan Sultans,Quetta Gladiators
Mohammad Rizwan,15,21,1,0,71.42,1,catch,Aamer Jamal,2024,"National Stadium, Karachi",Multan Sultans,Peshawar Zalmi
Mohammad Rizwan,26,26,3,0,100.0,1,catch,Shadab Khan,2024,"National Stadium, Karachi",Multan Sultans,Islamabad United
Dale Steyn,0,2,0,0,0.0,0,not out,not out,2021,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi
Dale Steyn,0,0,0,0,0.0,0,not out,not out,2021,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
Mujeeb Ur Rahman,0,0,0,0,0.0,0,not out,not out,2021,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
Mujeeb Ur Rahman,1,1,0,0,100.0,0,not out,not out,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Mujeeb Ur Rahman,2,2,0,0,100.0,0,catch,Hasan Ali,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Islamabad United
Paul Stirling,1,2,0,0,50.0,0,bowled,Wahab Riaz,2021,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Paul Stirling,56,33,8,2,169.69,0,bowled,Zahid Mahmood,2021,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
Paul Stirling,57,25,7,3,228.0,0,run out,run out,2022,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Paul Stirling,19,10,4,0,190.0,0,catch,Willey,2022,"National Stadium, Karachi",Islamabad United,Multan Sultans
Paul Stirling,58,28,7,3,207.14,0,catch,Mohammad Nawaz,2022,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
Paul Stirling,14,10,2,1,140.0,0,catch,Haris Rauf,2022,"National Stadium, Karachi",Islamabad United,Lahore Qalandars
Paul Stirling,39,30,3,2,130.0,0,bowled,Mohammad Nabi,2022,"National Stadium, Karachi",Islamabad United,Karachi Kings
Paul Stirling,13,10,1,1,130.0,0,catch,Shaheen Shah Afridi,2022,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
Paul Stirling,4,7,0,0,57.14,0,lbw,Muhammad Musa,2023,"National Stadium, Karachi",Islamabad United,Karachi Kings
Paul Stirling,5,5,1,0,100.0,0,catch,Mohammad Ilyas,2023,Multan Cricket Stadium,Islamabad United,Multan Sultans
Mohammad Wasim,1,2,0,0,50.0,0,catch,Mahmood,2021,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Mohammad Wasim,10,5,1,1,200.0,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Lahore Qalandars
Mohammad Wasim,4,4,0,0,100.0,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Lahore Qalandars
Mohammad Wasim,0,0,0,0,0.0,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Multan Sultans
Mohammad Wasim,13,8,1,1,162.5,0,lbw,Imran Khan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Multan Sultans
Mohammad Wasim,17,11,0,2,154.54,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Peshawar Zalmi
Mohammad Wasim,3,5,0,0,60.0,0,bowled,Willey,2022,"National Stadium, Karachi",Islamabad United,Multan Sultans
Mohammad Wasim,12,2,0,2,600.0,0,not out,not out,2022,"Gaddafi Stadium, Lahore",Islamabad United,Quetta Gladiators
Mohammad Wasim,12,14,2,0,85.71,0,lbw,Rashid Khan,2022,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
Mohammad Wasim,5,7,0,0,71.42,0,run out,run out,2022,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
Mohammad Wasim,0,1,0,0,0.0,0,catch,Abbas Afridi,2023,Multan Cricket Stadium,Islamabad United,Multan Sultans
Mohammad Wasim,16,7,1,1,228.57,0,lbw,Anwar Ali,2023,Rawalpindi Cricket Stadium,Islamabad United,Multan Sultans
Mohammad Wasim,8,11,1,0,72.72,0,catch,Haris Rauf,2023,Rawalpindi Cricket Stadium,Islamabad United,Lahore Qalandars
Mohammad Wasim,14,11,3,0,127.27,0,not out,not out,2023,Rawalpindi Cricket Stadium,Islamabad United,Peshawar Zalmi
Mohammad Wasim,4,2,1,0,200.0,0,catch,Salman Irshad,2024,"Gaddafi Stadium, Lahore",Quetta Gladiators,Peshawar Zalmi
Mohammad Wasim,1,2,0,0,50.0,0,bowled,Shadab Khan,2024,"Gaddafi Stadium, Lahore",Quetta Gladiators,Islamabad United
Mohammad Wasim,1,2,0,0,50.0,0,catch,Willey,2024,Multan Cricket Stadium,Quetta Gladiators,Multan Sultans
Mohammad Wasim,7,2,0,1,350.0,0,not out,not out,2024,"National Stadium, Karachi",Quetta Gladiators,Lahore Qalandars
Mohammad Wasim,11,13,0,1,84.61,0,bowled,Usama Mir,2024,"National Stadium, Karachi",Quetta Gladiators,Multan Sultans
Mohammad Wasim,6,10,0,0,60.0,0,bowled,Faheem Ashraf,2024,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
Arshad Iqbal,0,1,0,0,0.0,0,not out,not out,2021,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Arshad Iqbal,2,2,0,0,100.0,0,not out,not out,2023,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
Arshad Iqbal,2,6,0,0,33.33,0,not out,not out,2023,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
Arshad Iqbal,1,2,0,0,50.0,0,bowled,Zaman Khan,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Rohail Nazir,34,28,4,1,121.42,0,catch,Steyn,2021,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
Rohail Nazir,8,5,2,0,160.0,0,catch,Faulkner,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Lahore Qalandars
Rohail Nazir,1,3,0,0,33.33,0,lbw,Faulkner,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Lahore Qalandars
Rohail Nazir,21,12,4,0,175.0,0,catch,Muzarabani,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Multan Sultans
Rohail Nazir,18,12,3,0,150.0,0,catch,Zaman Khan,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
Usman Khan,81,50,10,3,162.0,0,lbw,Imran Tahir,2021,"National Stadium, Karachi",Quetta Gladiators,Multan Sultans
Usman Khan,14,19,2,0,73.68,0,bowled,Shadab Khan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Islamabad United
Usman Khan,28,23,2,1,121.73,0,catch,Allen,2021,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Peshawar Zalmi
Usman Khan,0,4,0,0,0.0,0,catch,Faulkner,2021,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Lahore Qalandars
Usman Khan,12,14,2,0,85.71,0,run out,run out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Multan Sultans
Usman Khan,15,13,0,1,115.38,0,catch,Mohammad Ilyas,2021,"Sheikh Zayed Stadium, Abu Dhabi",Quetta Gladiators,Karachi Kings
Usman Khan,0,1,0,0,0.0,0,lbw,Zaman Khan,2023,Multan Cricket Stadium,Multan Sultans,Lahore Qalandars
Usman Khan,120,43,12,9,279.06,0,stumped,Mohammad Nawaz,2023,Rawalpindi Cricket Stadium,Multan Sultans,Quetta Gladiators
Usman Khan,29,28,4,0,103.57,0,bowled,Haris Rauf,2023,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Usman Khan,18,12,4,0,150.0,0,bowled,Wiese,2023,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Usman Khan,14,7,3,0,200.0,0,stumped,Abrar Ahmed,2024,Multan Cricket Stadium,Multan Sultans,Quetta Gladiators
Usman Khan,100,50,15,3,200.0,0,not out,not out,2024,Rawalpindi Cricket Stadium,Multan Sultans,Islamabad United
Usman Khan,21,23,3,0,91.3,0,bowled,Abrar Ahmed,2024,"National Stadium, Karachi",Multan Sultans,Quetta Gladiators
Usman Khan,36,28,3,0,128.57,0,not out,not out,2024,"National Stadium, Karachi",Multan Sultans,Peshawar Zalmi
Usman Khan,57,40,7,1,142.5,0,catch,Shadab Khan,2024,"National Stadium, Karachi",Multan Sultans,Islamabad United
Shahnawaz Dahani,0,1,0,0,0.0,0,catch,Steyn,2021,"National Stadium, Karachi",Multan Sultans,Quetta Gladiators
Shahnawaz Dahani,0,0,0,0,0.0,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Islamabad United
Shahnawaz Dahani,6,8,1,0,75.0,0,not out,not out,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Shahnawaz Dahani,0,1,0,0,0.0,0,not out,not out,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Shahnawaz Dahani,0,1,0,0,0.0,0,bowled,Naveen-ul-Haq,2024,Multan Cricket Stadium,Multan Sultans,Peshawar Zalmi
Usman Khawaja,18,17,2,0,105.88,0,catch,Haris Rauf,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Lahore Qalandars
Usman Khawaja,40,27,6,1,148.14,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Quetta Gladiators
Usman Khawaja,0,3,0,0,0.0,0,catch,Shaheen Shah Afridi,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Lahore Qalandars
Usman Khawaja,12,16,1,0,75.0,0,catch,Abbas Afridi,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Karachi Kings
Usman Khawaja,70,40,9,1,175.0,0,catch,Sohail Tanvir,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Multan Sultans
Usman Khawaja,1,2,0,0,50.0,0,run out,run out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Peshawar Zalmi
Tim David,23,15,1,1,153.33,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Islamabad United
Tim David,64,36,3,5,177.77,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Peshawar Zalmi
Tim David,3,8,0,0,37.5,0,catch,Shadab Khan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Islamabad United
Tim David,46,27,4,3,170.37,0,catch,Usman Shinwari,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Quetta Gladiators
Tim David,34,14,2,3,242.85,0,catch,Abbas Afridi,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Karachi Kings
Tim David,10,8,1,0,125.0,0,bowled,Imran Khan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Multan Sultans
Tim David,12,10,0,1,120.0,0,not out,not out,2022,"National Stadium, Karachi",Multan Sultans,Karachi Kings
Tim David,1,3,0,0,33.33,0,catch,Shaheen Shah Afridi,2022,"National Stadium, Karachi",Multan Sultans,Lahore Qalandars
Tim David,28,16,1,2,175.0,0,not out,not out,2022,"National Stadium, Karachi",Multan Sultans,Quetta Gladiators
Tim David,71,29,6,6,244.82,0,catch,Mohammad Wasim,2022,"National Stadium, Karachi",Multan Sultans,Islamabad United
Tim David,51,19,2,6,268.42,0,not out,not out,2022,"National Stadium, Karachi",Multan Sultans,Peshawar Zalmi
Tim David,34,18,2,3,188.88,0,catch,Wahab Riaz,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Peshawar Zalmi
Tim David,24,12,3,1,200.0,0,catch,Zaman Khan,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Tim David,13,7,2,0,185.71,0,catch,Mir Hamza,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Karachi Kings
Tim David,0,0,0,0,0.0,0,not out,not out,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Quetta Gladiators
Tim David,17,12,2,1,141.66,0,catch,Zahid Mahmood,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Islamabad United
Tim David,27,17,2,1,158.82,0,catch,Shaheen Shah Afridi,2022,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Tim David,60,27,4,5,222.22,0,catch,Mohammad Wasim,2023,Rawalpindi Cricket Stadium,Multan Sultans,Islamabad United
Tim David,2,3,0,0,66.66,0,bowled,Azmatullah Omarzai,2023,Rawalpindi Cricket Stadium,Multan Sultans,Peshawar Zalmi
Tim David,43,25,1,4,172.0,0,not out,not out,2023,Rawalpindi Cricket Stadium,Multan Sultans,Quetta Gladiators
Tim David,22,15,1,1,146.66,0,not out,not out,2023,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Tim David,20,16,3,0,125.0,0,catch,Shaheen Shah Afridi,2023,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
Rahmanullah Gurbaz,3,4,0,0,75.0,0,stumped,Imad Wasim,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Karachi Kings
Rahmanullah Gurbaz,27,16,1,2,168.75,0,not out,not out,2022,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Rahmanullah Gurbaz,15,13,1,1,115.38,0,catch,Khushdil Shah,2022,"National Stadium, Karachi",Islamabad United,Multan Sultans
Rahmanullah Gurbaz,19,13,2,1,146.15,0,bowled,Naseem Shah,2022,"Gaddafi Stadium, Lahore",Islamabad United,Quetta Gladiators
Rahmanullah Gurbaz,12,5,0,2,240.0,0,catch,Imad Wasim,2022,"Gaddafi Stadium, Lahore",Islamabad United,Karachi Kings
Rahmanullah Gurbaz,46,19,3,5,242.1,0,catch,Salman Irshad,2022,"Gaddafi Stadium, Lahore",Islamabad United,Peshawar Zalmi
Rahmanullah Gurbaz,20,11,2,1,181.81,0,catch,Shaheen Shah Afridi,2022,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
Rahmanullah Gurbaz,62,31,7,4,200.0,0,catch,Usman Qadir,2023,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Rahmanullah Gurbaz,8,8,0,1,100.0,0,catch,Mohammad Hasnain,2023,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
Rahmanullah Gurbaz,23,17,2,1,135.29,0,catch,Zaman Khan,2023,"Gaddafi Stadium, Lahore",Islamabad United,Lahore Qalandars
Rahmanullah Gurbaz,0,2,0,0,0.0,0,lbw,Naseem Shah,2023,Rawalpindi Cricket Stadium,Islamabad United,Quetta Gladiators
Rahmanullah Gurbaz,25,14,5,0,178.57,0,catch,Anwar Ali,2023,Rawalpindi Cricket Stadium,Islamabad United,Multan Sultans
Rahmanullah Gurbaz,15,15,1,1,100.0,0,catch,Zaman Khan,2023,Rawalpindi Cricket Stadium,Islamabad United,Lahore Qalandars
Rahmanullah Gurbaz,10,7,1,1,142.85,0,catch,Azmatullah Omarzai,2023,"Gaddafi Stadium, Lahore",Islamabad United,Peshawar Zalmi
Shimron Hetmyer,7,9,0,0,77.77,0,catch,Perera,2021,"Sheikh Zayed Stadium, Abu Dhabi",Multan Sultans,Karachi Kings
Martin Guptill,11,16,1,0,68.75,0,bowled,Imran Tahir,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Multan Sultans
Martin Guptill,6,4,1,0,150.0,0,bowled,Mohammad Wasim,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Islamabad United
Martin Guptill,4,7,1,0,57.14,0,catch,Sameen Gul,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Peshawar Zalmi
Martin Guptill,43,31,2,3,138.7,0,bowled,Ahmed Daniyal,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Lahore Qalandars
Martin Guptill,5,5,1,0,100.0,0,catch,Arish Ali,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Quetta Gladiators
Martin Guptill,0,3,0,0,0.0,0,catch,Umaid Asif,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Peshawar Zalmi
Martin Guptill,7,6,1,0,116.66,0,catch,Sameen Gul,2023,Multan Cricket Stadium,Quetta Gladiators,Multan Sultans
Martin Guptill,117,67,12,5,174.62,0,catch,Aamer Yamin,2023,"National Stadium, Karachi",Quetta Gladiators,Karachi Kings
Martin Guptill,12,16,2,0,75.0,0,catch,Neesham,2023,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi
Martin Guptill,15,18,1,0,83.33,0,catch,Wiese,2023,"National Stadium, Karachi",Quetta Gladiators,Lahore Qalandars
Martin Guptill,0,1,0,0,0.0,0,bowled,Fazalhaq Farooqi,2023,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
Martin Guptill,15,20,1,0,75.0,0,catch,Wiese,2023,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
Martin Guptill,86,56,9,4,153.57,0,not out,not out,2023,Rawalpindi Cricket Stadium,Quetta Gladiators,Karachi Kings
Martin Guptill,21,8,3,1,262.5,0,catch,Wahab Riaz,2023,Rawalpindi Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Martin Guptill,37,14,2,4,264.28,0,catch,Ihsanullah,2023,Rawalpindi Cricket Stadium,Quetta Gladiators,Multan Sultans
Martin Guptill,56,47,5,1,119.14,0,catch,Mohammad Wasim,2024,"National Stadium, Karachi",Islamabad United,Quetta Gladiators
Martin Guptill,34,21,5,1,161.9,0,catch,Khurram Shahzad,2024,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi
Martin Guptill,50,32,4,3,156.25,0,run out,run out,2024,"National Stadium, Karachi",Islamabad United,Multan Sultans
Najibullah Zadran,11,6,0,1,183.33,0,lbw,Imran Tahir,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Multan Sultans
Najibullah Zadran,71,42,5,4,169.04,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Islamabad United
Najibullah Zadran,17,27,1,0,62.96,0,catch,Abrar Ahmed,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Peshawar Zalmi
Najibullah Zadran,0,1,0,0,0.0,0,catch,Mohammad Hafeez,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Lahore Qalandars
Najibullah Zadran,12,13,0,1,92.3,0,bowled,Arish Ali,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Quetta Gladiators
Najibullah Zadran,59,34,5,3,173.52,0,bowled,Rumman Raees,2023,Rawalpindi Cricket Stadium,Quetta Gladiators,Islamabad United
Najibullah Zadran,1,3,0,0,33.33,0,catch,Shamsi,2023,Rawalpindi Cricket Stadium,Quetta Gladiators,Karachi Kings
Qasim Akram,10,3,1,1,333.33,0,catch,Imran Khan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Multan Sultans
Qasim Akram,51,26,6,1,196.15,0,not out,not out,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Islamabad United
Qasim Akram,13,10,0,1,130.0,0,catch,Shahnawaz Dahani,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Multan Sultans
Qasim Akram,26,18,3,1,144.44,0,bowled,Rashid Khan,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
Qasim Akram,9,10,0,1,90.0,0,catch,Naseem Shah,2022,"Gaddafi Stadium, Lahore",Karachi Kings,Quetta Gladiators
Qasim Akram,7,10,1,0,70.0,0,catch,Neesham,2023,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
Qasim Akram,8,10,0,0,80.0,0,catch,Aimal Khan,2023,Rawalpindi Cricket Stadium,Karachi Kings,Quetta Gladiators
Qasim Akram,2,3,0,0,66.66,0,catch,Hussain Talat,2023,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
James Faulkner,22,7,1,2,314.28,0,run out,run out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Peshawar Zalmi
James Faulkner,1,5,0,0,20.0,0,bowled,Fawad Ahmed,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Islamabad United
James Faulkner,12,12,1,0,100.0,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Quetta Gladiators
James Faulkner,33,18,1,3,183.33,0,catch,Mohammad Ilyas,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Karachi Kings
James Faulkner,22,11,1,2,200.0,0,catch,Shahnawaz Dahani,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Multan Sultans
James Faulkner,18,12,0,1,150.0,0,run out,run out,2022,"National Stadium, Karachi",Quetta Gladiators,Multan Sultans
James Faulkner,30,14,3,2,214.28,0,not out,not out,2022,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
James Faulkner,1,1,0,0,100.0,0,not out,not out,2022,"Gaddafi Stadium, Lahore",Quetta Gladiators,Islamabad United
Ahmed Daniyal,0,0,0,0,0.0,0,run out,run out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Peshawar Zalmi
Ahmed Daniyal,6,9,1,0,66.66,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Islamabad United
Ahmed Daniyal,3,9,0,0,33.33,0,catch,Khurram Shahzad,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Quetta Gladiators
Ahmed Daniyal,1,2,0,0,50.0,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Multan Sultans
David Miller,21,23,3,0,91.3,0,bowled,Rashid Khan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Lahore Qalandars
David Miller,73,46,6,4,158.69,0,bowled,Khurram Shahzad,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Quetta Gladiators
David Miller,22,14,1,1,157.14,0,catch,Muzarabani,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Multan Sultans
David Miller,25,20,3,0,125.0,0,bowled,Haris Rauf,2023,Multan Cricket Stadium,Multan Sultans,Lahore Qalandars
David Miller,23,14,1,1,164.28,0,not out,not out,2023,Multan Cricket Stadium,Multan Sultans,Peshawar Zalmi
David Miller,52,25,3,4,208.0,0,catch,Mohammad Wasim,2023,Multan Cricket Stadium,Multan Sultans,Islamabad United
David Miller,7,10,1,0,70.0,0,catch,Shamsi,2023,"National Stadium, Karachi",Multan Sultans,Karachi Kings
David Miller,1,2,0,0,50.0,0,lbw,Rashid Khan,2023,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars
David Miller,11,9,1,0,122.22,0,catch,Mohammad Wasim,2023,Rawalpindi Cricket Stadium,Multan Sultans,Islamabad United
Rovman Powell,0,2,0,0,0.0,0,lbw,Rashid Khan,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Lahore Qalandars
Rovman Powell,43,19,1,5,226.31,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Quetta Gladiators
Rovman Powell,4,4,1,0,100.0,0,catch,Shahnawaz Dahani,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Multan Sultans
Rovman Powell,2,9,0,0,22.22,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Karachi Kings
Rovman Powell,14,11,2,0,127.27,0,catch,Akif Javed,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Islamabad United
Rovman Powell,1,3,0,0,33.33,0,not out,not out,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Karachi Kings
Rovman Powell,23,14,2,1,164.28,0,catch,Muzarabani,2021,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Multan Sultans
Rovman Powell,23,12,1,2,191.66,0,catch,Abbas Afridi,2023,Multan Cricket Stadium,Peshawar Zalmi,Multan Sultans
Rovman Powell,36,23,3,2,156.52,0,bowled,Naseem Shah,2023,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
Rovman Powell,0,2,0,0,0.0,0,bowled,Hasan Ali,2023,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
Rovman Powell,20,15,2,1,133.33,0,bowled,Zaman Khan,2023,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
Rovman Powell,64,34,6,4,188.23,0,catch,Mohammad Amir,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Karachi Kings
Rovman Powell,9,5,0,1,180.0,0,catch,Shaheen Shah Afridi,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Rovman Powell,35,18,3,2,194.44,0,not out,not out,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Rovman Powell,2,4,0,0,50.0,0,catch,Abbas Afridi,2023,Rawalpindi Cricket Stadium,Peshawar Zalmi,Multan Sultans
Rovman Powell,17,9,1,1,188.88,0,catch,Mohammad Amir,2024,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
Rovman Powell,39,25,3,2,156.0,0,catch,Mohammad Nawaz,2024,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Karachi Kings
Rovman Powell,23,11,3,1,209.09,0,catch,Willey,2024,Multan Cricket Stadium,Peshawar Zalmi,Multan Sultans
Rovman Powell,46,20,5,2,230.0,0,catch,Jahandad Khan,2024,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Lahore Qalandars
Rovman Powell,8,8,1,0,100.0,0,catch,Naseem Shah,2024,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Islamabad United
