batsman,total_runs,total_balls,fours,sixes,strike_rate,match_captain,wicket_type,dismissed_by,season,venue,team_name,opponent_team
Babar Azam,68,50,10,0,136.0,0,catch,Faheem Ashraf,2019,Dubai International Cricket Stadium,Karachi Kings,Islamabad United
Babar Azam,11,12,2,0,91.66,0,bowled,Lamichhane,2019,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars
Babar Azam,12,18,2,0,66.66,0,lbw,Mohammad Ilyas,2019,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Multan Sultans
Babar Azam,56,46,6,1,121.73,0,catch,Mohammad Hasnain,2019,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Babar Azam,13,9,2,0,144.44,0,catch,Sameen Gul,2019,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
Babar Azam,42,32,4,0,131.25,0,catch,Rumman Raees,2019,"National Stadium, Karachi",Karachi Kings,Islamabad United
Babar Azam,78,56,7,2,139.28,0,run out,run out,2020,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
Babar Azam,26,23,5,0,113.04,0,bowled,Mills,2020,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Babar Azam,13,12,1,0,108.33,0,catch,Mohammad Irfan,2020,Multan Cricket Stadium,Karachi Kings,Multan Sultans
Babar Azam,0,0,0,0,0.0,0,run out,run out,2020,Rawalpindi Cricket Stadium,Karachi Kings,Islamabad United
Babar Azam,70,59,10,0,118.64,0,not out,not out,2020,Rawalpindi Cricket Stadium,Karachi Kings,Peshawar Zalmi
Babar Azam,38,29,6,0,131.03,0,catch,Maaz Khan,2020,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars
Babar Azam,69,46,8,1,150.0,0,not out,not out,2020,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Babar Azam,19,20,3,0,95.0,0,bowled,Muhammad Musa,2020,"National Stadium, Karachi",Karachi Kings,Islamabad United
Babar Azam,65,53,5,2,122.64,0,catch,Sohail Tanvir,2020,"National Stadium, Karachi",Karachi Kings,Multan Sultans
Babar Azam,63,49,7,0,128.57,0,not out,not out,2020,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Babar Azam,24,20,3,0,120.0,0,catch,Mohammad Hasnain,2021,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators
Babar Azam,62,54,6,1,114.81,0,run out,run out,2021,"National Stadium, Karachi",Karachi Kings,Islamabad United
Babar Azam,90,60,13,1,150.0,0,not out,not out,2021,"National Stadium, Karachi",Karachi Kings,Multan Sultans
Babar Azam,5,5,0,0,100.0,0,bowled,Shaheen Shah Afridi,2021,"National Stadium, Karachi",Karachi Kings,Lahore Qalandars
Babar Azam,77,47,6,3,163.82,0,not out,not out,2021,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi
